plot_quad,other20.bio,VD2020_biomass,VD19_biomass,VD19_cover,Other19_cover,Other19_biomass,VD2020_cover
ARAR01_C.1,5.49,6.98,5.08,80,12.25,NA,48
ARAR01_C.2,5.06,4.75,1.79,47,28.75,NA,36
ARAR01_C.3,1.82,0.49,1.8,30,17,NA,7
ARAR01_C.4,4.25,1.19,0.99,42,36.25,NA,9
ARAR01_C.5,3.82,1.65,0.87,20,45,NA,10
ARAR01_C.6,4,2.87,3.2,70,46.75,NA,20
ARAR01_C.7,0.97,3.14,1.9,50,20.75,NA,15
ARAR01_CC1,3.1,0.29,0.16,16,28.75,NA,2
ARAR01_CC2,2.62,3.8,1.8,50,12,NA,19
ARAR01_CC3,1.93,1.96,2.22,62,17.25,NA,13
ARAR01_N.1,0.65,2.6,3.04,43,57.25,5.23,24
ARAR01_N.2,0.12,1.12,0.08,4,46.25,2.3,4
ARAR01_N.3,0.05,4.6,2.94,53,16.25,0.62,25
ARAR01_N.4,0.03,3.62,2.4,32,28.5,1.39,27
ARAR01_N.5,0.37,1.01,1.09,19,59.5,3.29,13
ARAR01_N.6,0.03,3.21,2.2,50,18.5,0.9,27
ARAR01_N.7,0.05,0.95,0.37,14,37.5,3.68,5
ARAR01_NN1,0.33,0.12,0.01,5,37.25,3.03,1
ARAR01_NN2,0.15,2.91,2.84,53,14.5,3.94,20
ARAR01_NN3,0.21,0.56,0.41,6,27,1.42,4
ARAR02_C.1,1.14,2.62,2.29,45,16.25,NA,26
ARAR02_C.2,1.26,4.04,3.12,48,18,NA,24
ARAR02_C.3,3.55,3.74,2.89,50,20,NA,17
ARAR02_C.4,11.88,3.87,2.97,40,41.25,NA,21
ARAR02_C.5,2.06,4.04,0.13,8,9,NA,34
ARAR02_C.6,2.82,4.82,1.81,40,16,NA,33
ARAR02_C.7,3.83,3.95,3.17,65,19,NA,26
ARAR02_CC1,7.83,2.41,1.46,22,34,NA,13
ARAR02_CC2,3.58,1.06,1.33,35,26.5,NA,5
ARAR02_CC3,12.29,1.27,0.68,10,32,NA,9
ARAR02_N.1,0.12,4.58,3.37,60,18,0.83,42
ARAR02_N.2,0.04,4.24,2.69,47,29,3.58,28
ARAR02_N.3,0.78,4.07,1.43,30,32,2.88,19
ARAR02_N.4,0.03,2.98,1.23,23,11,0.54,24
ARAR02_N.5,0.1,4.41,4.51,65,28.5,1.21,27
ARAR02_N.6,0.2,5.09,2.94,25,25,3.28,24
ARAR02_N.7,0.005,4.15,2.17,40,3.5,0.26,26
ARAR02_NN1,0.2,0.93,1.33,17,20,1.67,6
ARAR02_NN2,0.11,1.52,1.02,20,25.25,2.36,15
ARAR02_NN3,0.01,5.6,1.84,46,9.5,0.29,20
ARAR03_C.1,1.33,1.11,0.65,8,32.5,NA,10
ARAR03_C.2,3.465,0.51,0.25,7,49.5,NA,4
ARAR03_C.3,10.66,0.4,0.01,1,44,NA,5
ARAR03_C.4,2.6,0.52,0.45,9,49.75,NA,5
ARAR03_C.5,6.14,0.63,0.38,10,36.25,NA,7
ARAR03_C.6,2.44,2.1,2.39,48,14,NA,20
ARAR03_C.7,1.77,2.12,2.81,42,29.25,NA,17
ARAR03_CC1,7.55,0.37,1.93,25,42.5,NA,2
ARAR03_CC2,0.69,0.44,5.06,80,14.5,NA,3
ARAR03_CC3,2.58,0.58,1.78,35,23.75,NA,3
ARAR03_N.1,NA,0.01,1.62,14,11,0.46,0.25
ARAR03_N.2,2.56,0.72,0,0,167.25,14.64,4
ARAR03_N.3,0.55,0.82,1.57,20,32,3.81,8
ARAR03_N.4,0.1,0.6,3.07,40,17.5,2.64,5
ARAR03_N.5,0.78,0.89,3.03,40,25,3.42,5
ARAR03_N.6,0.16,0.57,0.7,10,18.5,2.91,10
ARAR03_N.7,0.07,1.24,3.07,40,15.25,1.17,8
ARAR03_NN1,0.32,0,0,0,29.75,3.33,0.25
ARAR03_NN2,0.11,0.29,4.96,55,15.5,0.76,2
ARAR03_NN3,0.4,0.35,2.2,35,26.5,3.2,2
ARAR04_C.1,7,5.01,2.1,43,30,NA,55
ARAR04_C.2,10.92,3.5,1.25,30,46,NA,25
ARAR04_C.3,4.37,2.35,0.95,7,43.25,NA,22
ARAR04_C.4,6.49,13.85,1.35,17,55,NA,60
ARAR04_C.5,4.03,4.8,1.52,52,25,NA,32
ARAR04_C.6,23.83,3.23,0.99,11,64,NA,17
ARAR04_C.7,6.76,3.13,0.57,23,39,NA,26
ARAR04_CC1,4.53,5.31,3.22,70,20,NA,29
ARAR04_CC2,5.12,2.85,0.74,17,46.25,NA,22
ARAR04_CC3,5.2,3.75,2.4,50,57.25,NA,18
ARAR04_N.1,0.55,2.24,0.72,20,49.25,4.09,34
ARAR04_N.2,1.23,5.49,1.4,40,38.25,3.62,43
ARAR04_N.3,0.1,5.62,3.13,68,16.25,0.92,56
ARAR04_N.4,0.82,9.38,0.53,12,38,1.97,38
ARAR04_N.5,0.38,8.9,3.39,90,14.25,1.62,35
ARAR04_N.6,1.69,2.68,0.69,25,46.25,5.16,15
ARAR04_N.7,0.58,5.69,1.68,80,29,3.64,30
ARAR04_NN1,0.38,3.45,1.92,60,52,7.16,45
ARAR04_NN2,0.16,4.55,2.83,80,12,2.12,33
ARAR04_NN3,0.76,0.95,0.27,10,17,0.34,5
ARAR05_C.1,8.42,0.55,1,5,29,NA,1
ARAR05_C.2,12.5,2.01,0.59,25,46.25,NA,21
ARAR05_C.3,5.8,3.23,1.57,40,50.25,NA,23
ARAR05_C.4,3,2.27,0.46,28,26.5,NA,18
ARAR05_C.5,3.2,4.89,2.11,60,25,NA,30
ARAR05_C.6,3.08,1.84,0.6,37,18,NA,17
ARAR05_C.7,5.85,1.59,0.49,16,37,NA,5
ARAR05_CC1,13.06,0,0,0,54.75,NA,0
ARAR05_CC2,6.94,1.47,0.4,10,39,NA,0
ARAR05_CC3,3.37,3.01,1.03,45,18,NA,16
ARAR05_N.1,1,1.43,0.93,15,20.25,3.15,12
ARAR05_N.2,0.55,2.13,0.07,2,25.25,4.84,10
ARAR05_N.3,1.06,2.45,0.52,8,21.25,1.5,9
ARAR05_N.4,1.41,2.81,0.34,15,30,3.06,22
ARAR05_N.5,0.22,2.49,0.1,16,21,2.28,14
ARAR05_N.6,0.48,3.12,0.74,27,25,3.96,17
ARAR05_N.7,0.89,3.05,1.11,37,26,1.72,18
ARAR05_NN1,0.81,0.08,0.01,2,36.25,2.68,1
ARAR05_NN2,0.24,3.13,0.52,15,27,3.1,15
ARAR05_NN3,1.66,2.4,0.41,13,41.25,7.4,18
ARRI01_C.1,0.97,4.32,2.47,40,18.25,NA,20
ARRI01_C.2,0.91,2.69,0.7,12,7.25,NA,18
ARRI01_C.3,1.92,1.54,0.01,4,17.25,NA,13
ARRI01_C.4,0.25,3.22,0.09,4,10.25,NA,19
ARRI01_C.5,1.65,2.52,0.7,25,19.25,NA,28
ARRI01_C.6,0.17,1.11,0,0,11,NA,8
ARRI01_C.7,1.01,2.67,0.52,25,22,NA,17
ARRI01_CC1,3.85,0.08,0,0,40,NA,1
ARRI01_CC2,1.12,0.94,0.01,3,39,NA,3
ARRI01_CC3,2.92,0.22,0,0,21,NA,2
ARRI01_N.1,0,1.93,0.01,3,28.25,6.79,8
ARRI01_N.2,0.05,3.94,0.93,30,25.25,2.18,36
ARRI01_N.3,0,1.7,0,0,27.25,1.78,10
ARRI01_N.4,0.06,2.73,1,25,15,1.38,17
ARRI01_N.5,0.02,4.53,1.09,40,22,0.04,27
