plot_quad,AGHE2,ALAC4,ANLU2,HEPU6,BRAR5,BRTE,CAQU2,CATE26,MOLI4,COPA3,DAUN,DEDA,DEDI11,DODEC,EPBR3,JUTE,ALLIU,LIGL2,ELBE,LOBIL,LONU2,MAGR3,HEMI20,MIGR,NAVAR,NEPA,POAC,PODO4,POPO4,POSE,PSSP6,SAAN2,SEST2,SIID,TRGR7,TRMA3,TROB,VEDU,ZIVE
ARAR01_C.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
ARAR01_C.2,0.25,0,7,0,1,0,0,0,0,0,3,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0
ARAR01_C.3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0
ARAR01_C.4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,29,0,0,0,0.25,0,0,0,0,0,13,0,0,0,4,0,0,0,9,0
ARAR01_C.5,0.25,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0
ARAR01_C.6,0.25,0,3,0,0,0,0,0,0.25,0,6,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,20,0,0,0,4,0,0,0,20,0
ARAR01_C.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0.25,2,0,0,0,0,0,0,0,15,0
ARAR02_C.1,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,26,0
ARAR02_C.2,0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0
ARAR02_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0
ARAR02_C.4,0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,21,0
ARAR02_C.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0
ARAR02_C.6,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
ARAR02_C.7,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
ARAR03_C.1,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3,0,0,0.25,0,0,0,0,0.25,24,0,0,0,0,0,0,0,10,0
ARAR03_C.2,0,0,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,4,0
ARAR03_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,17,18,0,0,0,0,0,0,5,0
ARAR03_C.4,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,36,0,0,0,0,0,0,0,5,0
ARAR03_C.5,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0
ARAR03_C.6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0
ARAR03_C.7,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0
ARAR04_C.1,0.25,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,55,0
ARAR04_C.2,0,0,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
ARAR04_C.3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,22,0
ARAR04_C.4,0,0,7,0,3,0,0,0,0.25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,60,0
ARAR04_C.5,0.25,0,0,0,12,0,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0
ARAR04_C.6,0,0,0,0,7,0,0,0,0,0,41,0,0,0,1,0,0,0.25,0,16,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0
ARAR04_C.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,26,0
ARAR05_C.1,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ARAR05_C.2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0.25,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,0
ARAR05_C.3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0
