plot_quad,resident_g,vedu_g
ARAR01_C.1,5.49,6.98
ARAR02_C.1,1.14,2.62
ARAR03_C.1,1.33,1.11
ARAR04_C.1,7,5.01
ARAR05_C.1,8.42,0.55
ARRI01_C.1,0.97,4.32
ARRI02_C.1,0.85,5.3
ARRI03_C.1,1.97,1.9
ARRI04_C.1,1.76,6.05
ARRI05_C.1,13.57,2.36
SEEP01_C.1,11.34,2.07
SEEP02_C.1,9.76,13
SEEP03_C.1,7.02,1.84
SEEP04_C.1,12.16,4.6
SEEP05_C.1,13.35,0.16
ARAR01_C.2,5.06,4.75
ARAR02_C.2,1.26,4.04
ARAR03_C.2,3.465,0.51
ARAR04_C.2,10.92,3.5
ARAR05_C.2,12.5,2.01
ARRI01_C.2,0.91,2.69
ARRI02_C.2,2.32,3.64
ARRI03_C.2,4.28,1.24
ARRI04_C.2,1.89,1.38
ARRI05_C.2,4.92,5.52
SEEP01_C.2,9.27,1.59
SEEP02_C.2,9.03,4.39
SEEP03_C.2,6.51,2.32
SEEP04_C.2,3.02,8.88
SEEP05_C.2,12.55,0.39
ARAR01_C.3,1.82,0.49
ARAR02_C.3,3.55,3.74
ARAR03_C.3,10.66,0.4
ARAR04_C.3,4.37,2.35
ARAR05_C.3,5.8,3.23
ARRI01_C.3,1.92,1.54
ARRI02_C.3,1.27,5.32
ARRI03_C.3,2.29,1.28
ARRI04_C.3,0.91,3.23
ARRI05_C.3,1.21,6.67
SEEP01_C.3,2.5,6.51
SEEP02_C.3,4.71,11.82
SEEP03_C.3,15.94,1.52
SEEP04_C.3,34.97,4.09
SEEP05_C.3,9.82,0.97
ARAR01_C.4,4.25,1.19
ARAR02_C.4,11.88,3.87
ARAR03_C.4,2.6,0.52
ARAR04_C.4,6.49,13.85
ARAR05_C.4,3,2.27
ARRI01_C.4,0.25,3.22
ARRI02_C.4,2.2,2.22
ARRI03_C.4,4.78,1.72
ARRI04_C.4,1.16,4.11
ARRI05_C.4,2.08,5.03
SEEP01_C.4,6.53,4.29
SEEP02_C.4,6.63,4.25
SEEP03_C.4,5.68,2.73
SEEP04_C.4,17.14,4.33
SEEP05_C.4,15.17,0.85
ARAR01_C.5,3.82,1.65
ARAR02_C.5,2.06,4.04
ARAR03_C.5,6.14,0.63
ARAR04_C.5,4.03,4.8
ARAR05_C.5,3.2,4.89
ARRI01_C.5,1.65,2.52
ARRI02_C.5,1.68,4.11
ARRI03_C.5,4.43,0.77
ARRI04_C.5,3.77,3.21
ARRI05_C.5,2.72,3.99
SEEP01_C.5,4.96,1.5
SEEP02_C.5,15.75,3.93
SEEP03_C.5,3.45,2.89
SEEP04_C.5,10.98,2.11
SEEP05_C.5,9.03,1.87
ARAR01_C.6,4,2.87
ARAR02_C.6,2.82,4.82
ARAR03_C.6,2.44,2.1
ARAR04_C.6,23.83,3.23
ARAR05_C.6,3.08,1.84
ARRI01_C.6,0.17,1.11
ARRI02_C.6,4.73,3.86
ARRI03_C.6,2.82,0.78
ARRI04_C.6,2.12,2.12
ARRI05_C.6,0.72,2.81
SEEP01_C.6,4.54,5.63
SEEP02_C.6,11.97,7.54
SEEP03_C.6,8.35,4.11
SEEP04_C.6,18.22,2.5
SEEP05_C.6,10.63,6.4
ARAR01_C.7,0.97,3.14
ARAR02_C.7,3.83,3.95
ARAR03_C.7,1.77,2.12
ARAR04_C.7,6.76,3.13
ARAR05_C.7,5.85,1.59
ARRI01_C.7,1.01,2.67
ARRI02_C.7,5.32,1.43
ARRI03_C.7,1.2,1.66
ARRI04_C.7,1.62,2.41
ARRI05_C.7,20.16,3.04
SEEP01_C.7,5.89,3.73
SEEP02_C.7,3.33,6.23
SEEP03_C.7,6.75,4.06
SEEP04_C.7,10.4,2.63
SEEP05_C.7,8,2.85
