"","plot_quad","AGHE","ALAC","ANLU","BA_0","BROM","BRTE","CAQU","CATE","CLLI","COPA","DAUN","DEDA","DEDI","DODE","EPBR","JUNC","LEAF","LITH","LITT","LOLE","LONU","MADI","MAMI","MIGR","NAVA","NEPA","POAC","PODO","POPO","POSE","PSSP","SAAN","SEST","SIID","TRGR","TRMA","TROB","VEDU","ZICO"
"1","ARAR01_C.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"2","ARAR01_C.2",0.25,0,7,0,1,0,0,0,0,0,3,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36,0
"3","ARAR01_C.3",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0
"4","ARAR01_C.4",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,29,0,0,0,0.25,0,0,0,0,0,13,0,0,0,4,0,0,0,9,0
"5","ARAR01_C.5",0.25,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,10,0
"6","ARAR01_C.6",0.25,0,3,0,0,0,0,0,0.25,0,6,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,20,0,0,0,4,0,0,0,20,0
"7","ARAR01_C.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0.25,2,0,0,0,0,0,0,0,15,0
"8","ARAR01_CC1",1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,7,0,0,0,0.25,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0
"9","ARAR01_CC2",1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0.25,0,0,0,0,0,2,0,0,0,0,0,0,0,19,0
"10","ARAR01_CC3",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,8,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,13,0
"21","ARAR02_C.1",0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,26,0
"22","ARAR02_C.2",0,0,0,0,4,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,24,0
"23","ARAR02_C.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0
"24","ARAR02_C.4",0,0,0,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,21,0
"25","ARAR02_C.5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,34,0
"26","ARAR02_C.6",0,0,0,0,3,0,0,0,0,0,9,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"27","ARAR02_C.7",0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"28","ARAR02_CC1",0,0,6,0,2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,13,0
"29","ARAR02_CC2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,5,0
"30","ARAR02_CC3",0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,0,0,0,9,0
"41","ARAR03_C.1",0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,3,0,0,0.25,0,0,0,0,0.25,24,0,0,0,0,0,0,0,10,0
"42","ARAR03_C.2",0,0,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,4,0
