species,SLA,root.shoot,RootLength.cm,RootAvgDiam.mm,finerootV.totalrootV,height,N.perc
AGHE2,351.5079784,0.265874403,22.3632,0.60692,0.889379651,5.54,2.132
ALAC4,84.50533914,1.639564442,9.98392,1.64168,0.125553387,9.96,1.928
ANLU2,121.9883767,0.908311978,623.01252,0.7104,0.359648361,14.38,1.688
BRAR5,144.6649362,0.111613916,39.23048,0.31198,0.622822303,18.57,1.142
BRTE,287.0374048,0.221206339,36.28958,0.36448,0.924252349,10.16,0.603
CAQU2,120.8438679,8.139210064,27.75223333,4.833066667,0.350779953,22.72,1.322
CATE26,409.4871795,0.075432187,7.24932,0.39378,0.95339233,8.78,1.684
MOLI4,133.0794665,0.142313542,11.82988,0.40732,0.993818985,4.09,1.753
COPA3,323.0152574,0.085949871,35.42774,0.28396,1,4.122222222,1.955
DAUN,194.2435971,0.205589756,1043.6826,0.4107,0.68302048,15.57,1.182
DEDA,208.3636364,0.214830163,16.96001667,0.255233333,1,9.02,1.262
DEDI11,245.352086,1.081607124,60.73068,0.6578,0.209935253,15.54,1.981
DODEC,203.9570718,1.447086615,51.33888,0.52246,0.554690429,2.64,1.653775
EPBR3,50.14047693,0.17231629,8.7047,0.72698,0.937681159,9.41,1.668
JUTE,167.2354779,0.690300401,1287.14174,0.63502,0.455770727,18.26,1.116
ALLIU,163.4997281,7.328068395,14.1395,0.81852,0.129248013,16.72,1.455
LIGL2,234.1217799,2.155345821,50.42742,0.5145,0.203244595,7.72,1.806
ELBE,137.4567435,0.398996517,34.85808,0.42996,0.461281983,6.75,0.769
LOBIL,82.20926269,2.691524644,35.26946,4.06602,0.012873775,10.32,1.902
LONU2,132.0306692,1.999880712,43.42282,4.51646,0.005734945,12.57,1.621
MAGR3,127.0198379,0.154641167,14.50714,0.9405,0.782792936,16.44,1.418
HEMI20,136.7692308,0.25853535,3.47376,0.308,1,3.81,1.178
MIGR,159.5024501,0.164204091,17.96458,0.32434,1,6.82,1.294
NAVAR,135.783683,0.088401229,4.05742,0.32668,1,1.93,1.605
POAC,163.0237335,0.905836866,460.57622,0.5082,0.439373894,29.01,1.861
PODO4,130.2692939,0.135604126,7.7747,0.40288,1,7.74,3.258
POPO4,133.3333333,0.076936301,3.12838,0.27194,1,1.89,0.822
POSE,109.5033731,2.699915716,1652.54462,0.53514,0.193109066,14.42,1.363
PSSP6,97.3687412,3.938367185,1715.60698,0.67034,0.281819953,41.21,1.675
SAAN2,131.3836451,0.262828334,72.3157,0.7912,0.358087642,37.24,1.941
SEST2,92.88560767,0.11513252,26.19644,0.57926,0.232588207,11.18,1.232
SIID,100.9430274,1.755043293,192.18914,0.71404,0.519815406,18.79,1.944
TRGR7,135.2420389,4.287389827,21.94467143,1.410028571,0.067328635,21.25,1.195
TRMA3,68.88747296,8.974473594,271.783375,1.85005,0.121745861,5.21,4.182
TROB,290.2172097,0.136984378,4.34316,0.25852,1,3.35,2.117
VEDU,205.0041357,0.121589971,7.67686,0.28134,0.982716049,21.81,0.921
ZIVE,132.9266919,2.577402383,39.930575,1.306775,0.05408346,20.3,1.992
