"","vegtype","estimate","SE","df","lower.CL","upper.CL","var_name"
"1","ARRI",-0.104439716302548,0.125327265099056,86,-0.353582073567348,0.144702640962252,"logother20.bio"
"2","ARAR",-0.148045785392694,0.155188090596447,86,-0.456549499090291,0.160457928304904,"logother20.bio"
"3","SEEP",-0.558342219886489,0.19676049523543,86,-0.949489138801529,-0.167195300971448,"logother20.bio"
"4","ARRI",-0.0104306999366324,0.137165158251515,86,-0.283106009929008,0.262244610055743,"finerootV.totalrootV.dif"
"5","ARAR",0.0287819597919941,0.159444016207984,86,-0.288182254007986,0.345746173591975,"finerootV.totalrootV.dif"
"6","SEEP",-0.326098787246443,0.139449122351375,86,-0.603314467598751,-0.0488831068941353,"finerootV.totalrootV.dif"
"7","ARRI",0.0159105174979766,0.104703500209832,86,-0.192233152082103,0.224054187078056,"SLA.dif"
"8","ARAR",0.025332361060375,0.13421599849754,86,-0.24148021337741,0.29214493549816,"SLA.dif"
"9","SEEP",-0.444347081838584,0.191343890118071,86,-0.824726146159138,-0.06396801751803,"SLA.dif"
"10","ARRI",-0.0401520282476329,0.112219347826627,86,-0.263236708394019,0.182932651898753,"height.dif"
"11","ARAR",-0.23636531223778,0.147620570290878,86,-0.529825293463527,0.0570946689879676,"height.dif"
"12","SEEP",-0.382469013866956,0.185982152102738,86,-0.752189295781937,-0.0127487319519754,"height.dif"
"13","ARRI",0.203511115614478,0.126359310828435,86,-0.0476828806581564,0.454705111887113,"root.shoot.dif"
"14","ARAR",-0.028118308668058,0.129511707285959,86,-0.285579061690232,0.229342444354116,"root.shoot.dif"
"15","SEEP",0.183998706054564,0.18891813372752,86,-0.19155811416121,0.559555526270338,"root.shoot.dif"
"16","ARRI",0.0328591248542767,0.0924554078431908,86,-0.150936142948982,0.216654392657535,"N.perc.dif"
"17","ARAR",0.204844019558916,0.23434924221782,86,-0.261026855252082,0.670714894369915,"N.perc.dif"
"18","SEEP",0.314839363142616,0.244913246775586,86,-0.172032057683631,0.801710783968862,"N.perc.dif"
"19","ARRI",0.251592227166062,0.153631586637288,86,-0.0538172590689766,0.557001713401101,"RootLength.cm.dif"
"20","ARAR",0.0439448326086511,0.127941657873969,86,-0.210394765481942,0.298284430699244,"RootLength.cm.dif"
"21","SEEP",-0.196584950314596,0.186209557960134,86,-0.566757300112193,0.173587399483001,"RootLength.cm.dif"
"22","ARRI",-0.00537782025619201,0.139707600684764,86,-0.283107338529017,0.272351698016633,"RootAvgDiam.mm.dif"
"23","ARAR",0.0153667237844664,0.170893147362001,86,-0.324357609468301,0.355091057037233,"RootAvgDiam.mm.dif"
"24","SEEP",0.23155296380035,0.153081829434795,86,-0.0727636412867252,0.535869568887426,"RootAvgDiam.mm.dif"
"25","ARRI",6.25966450038587e-05,0.140287470330935,86,-0.278819664332603,0.27894485762261,"finerootV.totalrootV.dis"
"26","ARAR",-0.0287637052106626,0.159432751092384,86,-0.345705524702004,0.288178114280679,"finerootV.totalrootV.dis"
"27","SEEP",0.326080720637161,0.139414030195689,86,0.0489348011815113,0.60322664009281,"finerootV.totalrootV.dis"
"28","ARRI",-0.0161600311516208,0.115376854655049,86,-0.24552162712866,0.213201564825419,"SLA.dis"
"29","ARAR",-0.0253271180500141,0.134213052907077,86,-0.29213383684776,0.241479600747732,"SLA.dis"
"30","SEEP",0.444547189151795,0.191369085433487,86,0.0641180382018887,0.824976340101701,"SLA.dis"
"31","ARRI",0.0397609071302365,0.112597846337185,86,-0.184076203152299,0.263598017412772,"height.dis"
"32","ARAR",0.21862902461026,0.15892862277757,86,-0.0973106209597301,0.53456867018025,"height.dis"
"33","SEEP",0.382598800319755,0.186620395238263,86,0.0116097330437656,0.753587867595744,"height.dis"
"34","ARRI",0.203511115614478,0.126359310828435,86,-0.0476828806581564,0.454705111887113,"root.shoot.dis"
"35","ARAR",-0.028118308668058,0.129511707285959,86,-0.285579061690232,0.229342444354116,"root.shoot.dis"
"36","SEEP",0.183998706054564,0.18891813372752,86,-0.19155811416121,0.559555526270338,"root.shoot.dis"
"37","ARRI",0.0328591248542767,0.0924554078431908,86,-0.150936142948982,0.216654392657535,"N.perc.dis"
"38","ARAR",0.204844019558916,0.23434924221782,86,-0.261026855252082,0.670714894369915,"N.perc.dis"
"39","SEEP",0.314839363142616,0.244913246775586,86,-0.172032057683631,0.801710783968862,"N.perc.dis"
"40","ARRI",0.25215336207904,0.15433995631123,86,-0.0546643164614906,0.55897104061957,"RootLength.cm.dis"
"41","ARAR",0.0439317409063668,0.12794940828571,86,-0.210423264492838,0.298286746305572,"RootLength.cm.dis"
"42","SEEP",-0.196573722008789,0.186217771098755,86,-0.566762398985593,0.173614954968014,"RootLength.cm.dis"
"43","ARRI",-0.00537782025619201,0.139707600684764,86,-0.283107338529017,0.272351698016633,"RootAvgDiam.mm.dis"
"44","ARAR",0.0153667237844664,0.170893147362001,86,-0.324357609468301,0.355091057037233,"RootAvgDiam.mm.dis"
"45","SEEP",0.23155296380035,0.153081829434795,86,-0.0727636412867252,0.535869568887426,"RootAvgDiam.mm.dis"
"46","ARRI",-0.0292228378050374,0.160043804173103,86,-0.347379390617367,0.288933715007293,"finerootV.totalrootV.gap"
"47","ARAR",-0.380096337286349,0.259063968631549,86,-0.895098462133039,0.134905787560341,"finerootV.totalrootV.gap"
"48","SEEP",0.330529984511938,0.512541383279089,86,-0.688368563421627,1.3494285324455,"finerootV.totalrootV.gap"
"49","ARRI",-0.00555931658731745,0.187050486075033,86,-0.377403376149512,0.366284742974877,"SLA.gap"
